ACCESSION: ......
RECORD_TITLE: 7511-40,555-2186,583-151,065
CH$NAME: 7511-40,555-2186,583-151,065
CH$INCHIKEY: WDEIQHZSEQJHHX-UHFFFAOYNA-N
CH$SMILES: CC(=C2)CCC([H])(O1)C(C)(CCC([H])(C(C)3)CC([H])(OC(=O)3)C(C)(O)CC2)1
CH$FORMULA: C20H32O4
AC$CHROMATOGRAPHY: RETENTION_TIME 40,555
AC$CHROMATOGRAPHY: RETENTION_INDEX 2186,583
MS$FOCUSED_ION: SCAN_NUMBER 7511
MS$FOCUSED_ION: QUANT_M/Z 151,065
PK$NUM_PEAK: 335
PK$PEAK: m/z int. rel.int.
34 21 5,782
35 3 0,855
36 8 2,127
37 5 1,359
38 19 5,29
39,05 267 73,67
39,95 122 33,663
41,05 1583 436,554
42,05 114 31,464
43,05 1012 279,025
45 26 7,078
48 4 1,186
49 11 3,05
50 24 6,575
51 21 5,726
52 27 7,517
53,1 189 52,041
54,1 43 11,868
55,1 954 263,094
56,05 187 51,707
57,1 667 183,873
58,1 22 6,03
59,05 161 44,294
60,1 5 1,49
61,1 8 2,169
62,1 4 1,138
65,1 130 35,846
66 100 27,689
67,05 1086 299,576
68,1 205 56,68
69,05 3622 999
70,1 653 180,218
71,05 672 185,356
72,1 166 45,782
73 52 14,431
75 18 5,103
76 5 1,402
77,1 99 27,41
78,1 53 14,548
79,05 438 120,927
80,05 140 38,741
81,05 1458 402,107
82,05 342 94,307
83,05 539 148,667
84,05 176 48,42
85,1 551 152,062
86,1 50 13,742
88,1 16 4,381
89,1 8 2,177
91,05 418 115,289
92,05 85 23,439
93,05 1221 336,781
94,05 396 109,238
95,05 1126 310,524
96,1 325 89,549
97,05 225 62,048
98,1 120 33,232
99,1 143 39,516
100,1 39 10,7
101,1 27 7,409
102,1 22 6,102
103,1 19 5,151
105 351 96,721
106 178 49,01
107,05 1546 426,571
108,05 320 88,299
109,1 3396 936,709
110,05 858 236,576
111,1 306 84,537
112,1 66 18,084
113,05 338 93,135
114 60 16,658
115 75 20,804
116 5 1,479
117 19 5,211
119,05 35 9,778
120 36 9,979
121,1 345 95,1
122,05 560 154,581
123,1 907 250,129
124,1 290 80,107
125,05 214 59,084
126 108 29,827
127 104 28,568
128 12 3,304
129 6 1,52
130 9 2,459
131 12 3,233
132,14999 92 25,406
133,10001 553 152,65
134,10001 248 68,515
135,05 1894 522,499
136,05 274 75,515
137,05 753 207,596
138,14999 273 75,411
139,10001 296 81,79
140,10001 67 18,45
141,10001 55 15,066
142,10001 0 0,122
144,10001 16 4,438
146,10001 58 15,973
148,10001 56 15,474
149,14999 33 9,207
150,10001 940 259,239
151,05 2359 650,667
152,10001 1504 414,848
153,10001 1078 297,369
154,10001 102 28,171
155,10001 35 9,576
156,10001 43 11,987
160,10001 23 6,236
161,10001 62 17,155
162,10001 215 59,239
163,10001 77 21,33
164,10001 78 21,396
165,10001 178 49,205
166,10001 137 37,826
167,10001 13 3,483
168,05 576 158,753
169,10001 515 142,091
170,10001 71 19,475
171,10001 26 7,097
172,10001 12 3,293
173,10001 20 5,548
174,10001 23 6,477
175,10001 23 6,218
176,10001 25 6,927
177,10001 18 4,855
178,10001 79 21,861
179,10001 57 15,827
180,10001 247 68,136
181,10001 37 10,116
186,10001 14 3,804
188,10001 20 5,6
189,10001 41 11,331
190,10001 30 8,195
191,10001 9 2,475
192,10001 35 9,655
193,10001 69 18,926
194,10001 7 1,883
195,10001 17 4,689
196,10001 29 8,069
197,10001 12 3,4
199,10001 25 6,905
200,10001 21 5,672
201,10001 13 3,629
202,10001 53 14,517
203,10001 23 6,374
205,89999 14 3,729
206,95 95 26,28
207,89999 9 2,403
208,89999 16 4,433
209,89999 16 4,455
210,89999 9 2,585
211,89999 11 3,039
212,89999 2 0,493
213,89999 36 9,81
214,89999 4 0,999
215,89999 21 5,786
217,89999 15 4,119
218,89999 32 8,758
219,89999 142 39,05
220,89999 63 17,275
221,89999 19 5,258
222,89999 3 0,867
223,89999 6 1,677
228,89999 16 4,31
229,89999 66 18,113
231,89999 23 6,297
233,89999 77 21,241
234,89999 68 18,741
235,89999 11 3,17
237,89999 21 5,672
238,89999 30 8,17
239,89999 10 2,827
240,89999 13 3,5
241,89999 0 0,103
242,89999 17 4,793
243,89999 4 0,988
245,89999 85 23,424
246,89999 1 0,164
247,89999 0 0,103
248,89999 4 1,034
250,89999 20 5,396
252,89999 12 3,231
256,89999 32 8,775
257,89999 31 8,631
258,89999 13 3,577
259,89999 13 3,518
260,89999 0 0,011
261,89999 20 5,603
263,89999 7 1,974
264,89999 13 3,624
265,89999 6 1,528
268,89999 15 4,223
269,89999 0 0,1
271,89999 8 2,283
273,89999 28 7,639
278,89999 6 1,707
279,89999 7 1,863
281,89999 16 4,389
282,89999 6 1,778
283,89999 8 2,084
285,89999 30 8,145
286,89999 48 13,12
287,89999 57 15,775
288,89999 33 9,035
289,89999 22 6,207
290,89999 9 2,423
292,89999 3 0,743
293,89999 4 1,132
294,89999 27 7,431
295,89999 4 0,973
296,89999 5 1,405
298,89999 21 5,93
299,89999 17 4,759
300,89999 12 3,284
301,89999 21 5,657
304,89999 1 0,145
305,89999 10 2,831
306,89999 2 0,526
307,89999 2 0,546
308,89999 13 3,465
311,89999 2 0,491
314,89999 10 2,669
316,89999 36 10,051
317,89999 7 1,985
319,89999 4 1,14
321,89999 2 0,605
322,89999 3 0,884
323,89999 7 1,972
325,89999 6 1,705
338,89999 27 7,448
340,89999 25 6,893
348,89999 14 3,784
353,89999 1 0,142
355,89999 6 1,522
359,89999 13 3,574
364,89999 18 4,957
368,89999 24 6,707
370,89999 4 0,974
374,89999 15 4,23
375,89999 15 4,224
378,89999 1 0,207
383,89999 12 3,448
392,89999 11 2,953
393,89999 10 2,696
395,89999 4 1,209
399,89999 9 2,529
400,89999 14 3,737
401,89999 19 5,364
403,89999 6 1,732
407,89999 3 0,819
413,89999 16 4,448
414,89999 16 4,465
418,89999 17 4,582
419,89999 10 2,778
421,89999 12 3,295
422,89999 7 1,8
423,89999 3 0,863
424,89999 20 5,509
425,89999 13 3,603
431,89999 7 1,885
432,89999 6 1,674
433,89999 11 2,993
434,89999 8 2,08
435,89999 27 7,396
436,89999 0 0,059
437,89999 18 4,965
440,89999 15 4,155
443,89999 5 1,383
446,89999 7 1,825
453,89999 1 0,153
454,89999 1 0,167
455,89999 10 2,73
458,89999 9 2,362
469,89999 0 0,004
471,89999 6 1,526
473,89999 20 5,466
476,89999 8 2,152
477,89999 0 0,102
479,89999 7 2,017
480,89999 0 0,049
485,89999 1 0,386
486,89999 4 1,113
490,89999 2 0,461
496,89999 27 7,519
497,89999 6 1,672
498,89999 9 2,532
500,89999 8 2,215
501,89999 4 1,069
502,89999 10 2,762
503,89999 17 4,749
507,89999 14 3,968
508,89999 5 1,31
509,89999 4 0,982
514,90002 8 2,319
515,90002 4 1,228
518,90002 2 0,61
519,90002 7 1,876
520,90002 6 1,547
521,90002 6 1,523
522,90002 5 1,321
523,90002 7 2,064
524,90002 15 4,264
525,90002 16 4,329
526,90002 12 3,184
529,90002 6 1,586
530,90002 32 8,731
531,90002 0 0,023
532,90002 14 3,933
533,90002 4 1,11
536,90002 15 4,16
537,90002 12 3,411
544,90002 4 1,044
545,90002 14 3,758
551,90002 19 5,374
552,90002 11 2,986
553,90002 7 2,021
554,90002 5 1,44
556,90002 13 3,486
561,90002 6 1,79
562,90002 2 0,452
565,90002 8 2,15
567,90002 2 0,469
569,90002 4 1,222
571,90002 1 0,258
574,90002 3 0,855
575,90002 12 3,438
576,90002 2 0,477
577,90002 4 1,13
581,90002 16 4,5
582,90002 8 2,2
592,90002 0 0,069
598,90002 11 3,114
//

