ACCESSION: ......
RECORD_TITLE: 4853-27,229-1540,776-161,15
CH$NAME: 4853-27,229-1540,776-161,15
CH$INCHIKEY: JUQGWBAOQUBVFP-UHFFFAOYNA-N
CH$SMILES: CC(C)C(C1)C(C=2)C(=CCC(C)2)C(C)C1
CH$FORMULA: C15H24
AC$CHROMATOGRAPHY: RETENTION_TIME 27,229
AC$CHROMATOGRAPHY: RETENTION_INDEX 1540,776
MS$FOCUSED_ION: SCAN_NUMBER 4853
MS$FOCUSED_ION: QUANT_M/Z 161,15
PK$NUM_PEAK: 378
PK$PEAK: m/z int. rel.int.
33 5 0,045
34 39 0,348
35 1 0,007
36 0 0,001
37 102 0,909
38,05 141 1,249
39,05 5533 49,115
40,1 351 3,113
41,05 24120 214,112
42,05 1970 17,486
43,05 51433 456,556
44 515 4,569
45,05 44 0,395
45,9 16 0,14
46,9 23 0,206
50,05 333 2,955
51,05 2334 20,718
52,05 1231 10,929
53,05 6056 53,754
54,15 1313 11,654
55,1 26760 237,542
56,1 3832 34,02
57,1 4701 41,731
58,05 1999 17,749
62,05 93 0,824
63,05 889 7,888
64,05 265 2,352
65,05 7644 67,853
66,1 2039 18,1
67,05 14590 129,509
69,1 16548 146,893
70,1 3346 29,706
71,05 1557 13,818
72 552 4,898
73,05 346 3,073
74,1 187 1,657
75,05 116 1,026
76,15 434 3,856
77,05 17716 157,257
78,1 4573 40,593
79,05 31259 277,478
80,1 13188 117,07
81,1 79712 707,585
82,1 12839 113,969
83,1 4774 42,378
84,1 1447 12,846
85,05 196 1,739
86,1 0 0,004
89,05 586 5,197
90,15 208 1,844
91,05 55524 492,871
92,1 11774 104,516
93,1 7480 66,398
95,1 18318 162,6
96,1 5314 47,174
97,1 2888 25,636
98,1 352 3,125
99,1 1022 9,069
100,1 36 0,316
101,05 67 0,593
102,1 739 6,556
103,1 4502 39,967
104,15 1952 17,326
105,1 102504 909,905
106,1 11664 103,54
107,1 12037 106,853
108,1 3668 32,556
109,1 8168 72,503
110,1 2846 25,266
111,05 381 3,384
112,1 734 6,517
113,1 160 1,419
114,15 68 0,605
115,1 4979 44,199
116,05 1700 15,087
117,1 5637 50,036
118,1 4265 37,857
119,1 87237 774,379
120,1 24266 215,406
121,1 30664 272,194
122,15 10961 97,3
123,15 38009 337,394
124,1 6540 58,057
125,15 616 5,473
126,05 228 2,02
127,1 1121 9,952
128,10001 2182 19,373
129,10001 3279 29,108
130,10001 1397 12,397
131,10001 2485 22,063
132,14999 2585 22,945
133,14999 27971 248,296
134,14999 17697 157,09
135,14999 7639 67,806
136,14999 583 5,175
137,14999 769 6,828
138,14999 3747 33,263
139,14999 1817 16,132
140,14999 264 2,343
145,14999 2194 19,477
146,14999 2213 19,647
147,14999 13497 119,808
148,14999 2706 24,018
149,14999 2332 20,702
150,14999 1504 13,349
151,14999 1512 13,418
152,10001 566 5,026
159,14999 2080 18,468
160,14999 897 7,963
161,14999 112541 999
162,14999 20078 178,23
163,14999 1985 17,617
164,14999 641 5,694
165,10001 192 1,708
166,10001 192 1,701
169,10001 103 0,916
170,10001 40 0,351
173,14999 680 6,038
174,14999 622 5,518
175,14999 1768 15,698
177,14999 231 2,052
178,2 137 1,216
179,10001 212 1,884
180,10001 22 0,197
181,10001 58 0,511
187,14999 386 3,424
190,14999 244 2,166
191,14999 218 1,936
193,10001 95 0,846
194,10001 106 0,945
196,10001 64 0,569
199,10001 56 0,498
203,25 373 3,313
204,14999 21572 191,49
205,14999 3541 31,436
206,14999 1067 9,468
207,10001 77 0,682
208,10001 4 0,036
209,10001 28 0,253
211,10001 22 0,199
212,10001 15 0,129
218,10001 461 4,089
219,10001 79 0,701
222,2 38 0,337
223,2 21 0,189
224,2 33 0,294
227,2 0 0,003
232,2 10 0,092
234,2 18 0,159
235,2 20 0,18
239,2 5 0,041
240,2 0 0,001
244,2 25 0,221
245,2 0 0,003
248,2 11 0,1
249,2 38 0,337
253,2 22 0,195
254,2 16 0,143
261,20001 9 0,076
262,20001 12 0,106
263,20001 19 0,171
265,20001 2 0,013
267,20001 26 0,23
269,20001 6 0,056
270,20001 0 0,003
271,20001 16 0,144
273,20001 8 0,067
274,20001 9 0,078
276,20001 0 0,003
277,20001 7 0,063
278,20001 21 0,185
279,20001 27 0,24
280,20001 13 0,114
281,20001 48 0,422
282,20001 21 0,188
283,20001 1 0,007
284,20001 19 0,172
285,20001 12 0,103
287,20001 1 0,006
288,20001 8 0,069
289,20001 20 0,176
291,20001 1 0,006
293,20001 1 0,006
295,20001 3 0,025
296,20001 1 0,006
297,20001 12 0,106
298,20001 1 0,006
299,20001 16 0,144
302,20001 2 0,022
305,20001 10 0,092
307,20001 24 0,209
308,20001 29 0,261
309,20001 14 0,123
310,20001 10 0,09
311,20001 12 0,106
316,20001 8 0,072
318,20001 13 0,119
319,20001 1 0,007
321,20001 0 0,001
322,20001 17 0,155
323,20001 15 0,132
324,20001 6 0,049
325,20001 47 0,419
327,20001 19 0,168
328,20001 12 0,105
329,20001 21 0,188
330,20001 4 0,031
332,20001 2 0,019
333,20001 0 0,003
335,20001 6 0,054
336,20001 5 0,049
338,20001 1 0,009
340,20001 7 0,06
341,20001 41 0,363
342,20001 22 0,194
343,20001 2 0,02
346,20001 2 0,018
348,20001 2 0,013
349,20001 15 0,131
350,20001 28 0,245
352,20001 10 0,088
353,20001 25 0,218
354,20001 15 0,136
356,20001 35 0,313
357,20001 1 0,006
359,20001 8 0,072
360,20001 31 0,274
361,20001 28 0,253
362,20001 20 0,174
363,20001 1 0,008
364,20001 11 0,098
366,20001 9 0,078
367,20001 19 0,169
370,20001 16 0,145
371,20001 1 0,008
372,20001 25 0,225
376,20001 22 0,196
378,20001 2 0,02
379,20001 12 0,103
380,20001 22 0,194
381,20001 0 0,002
382,20001 25 0,219
383,20001 11 0,101
385,20001 19 0,171
386,20001 16 0,143
388,20001 2 0,014
389,20001 25 0,219
390,20001 16 0,139
391,20001 16 0,144
392,20001 23 0,204
393,20001 14 0,123
394,20001 6 0,054
396,20001 14 0,124
397,20001 1 0,006
398,20001 9 0,084
399,20001 18 0,164
400,20001 30 0,264
401,20001 0 0,001
402,20001 8 0,068
403,20001 65 0,578
404,20001 35 0,311
406,20001 10 0,086
407,20001 23 0,203
411,20001 1 0,008
413,20001 0 0,002
414,20001 12 0,104
416,20001 2 0,019
417,20001 2 0,015
419,20001 11 0,101
422,20001 23 0,205
423,20001 19 0,171
424,20001 1 0,005
